20/03/2026	Brocolli	Broccoli	Small crown	153.5
21/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Just over a cup	208.0
21/03/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
21/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
21/03/2026	Yogurt Breakfast	Peanut Butter	Barely a teaspoon - measure!	10.0
21/03/2026	Flatwhite	Milk, Almond Unsweetened	100 mls - same as grams	100.0
21/03/2026	Salmon	Salmon		142.5
21/03/2026	Fish, Snapper	Fish, Snapper		133.5
21/03/2026	Potatoe, Sweet	Potatoe, Sweet		193.0
21/03/2026	Asparagus	Asparagus	Wet - stalks cut off	426.5
21/03/2026	Olive oil	Olive oil	Spoon	4.5
22/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Just over a cup	208.0
22/03/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
22/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
22/03/2026	Yogurt Breakfast	Peanut Butter	Barely a teaspoon - measure!	10.0
22/03/2026	Salmon	Salmon		150.0
22/03/2026	Potatoes	Potatoes		170.7
22/03/2026	Brocolli	Broccoli	Small crown	122.8
22/03/2026	Olive oil	Olive oil	Spoon	4.5
22/03/2026	Potatoe, Sweet	Potatoe, Sweet		196.0
22/03/2026	Peas, Snap	Peas, Snap		163.0
22/03/2026	Beef Ground 10% Fat	Beef Ground 10% Fat		205.0
22/03/2026	Butter	Butter		7.0
23/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Just over a cup	203.0
23/03/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	116.0
23/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
23/03/2026	Yogurt Breakfast	Peanut Butter	Barely a teaspoon - measure!	10.0
23/03/2026	Flatwhite	Milk, Almond Unsweetened	100 mls - same as grams	100.0
23/03/2026	Salmon	Salmon		250.0
23/03/2026	Rice, Jasberry	Rice, Jasberry		60.0
23/03/2026	Peas, Snap	Peas, Snap		109.0
23/03/2026	Mushrooms	Mushrooms		95.0
23/03/2026	Olive oil	Olive oil	Spoon	4.5
23/03/2026	Brocolli	Broccoli	Small crown	190.0
23/03/2026	Potatoes	Potatoes		248.0
23/03/2026	Beef Ground 10% Fat	Beef Ground 10% Fat		205.0
24/03/2026	Eggwhite Omellette	Eggwhite	From 5 eggs - size of eggs varies a lot!	195.0
24/03/2026	Eggwhite Omellette	Broccoli	One full bowl - dry - water added 20 g	150.0
24/03/2026	Eggwhite Omellette	Mushrooms	About 11	192.0
24/03/2026	Eggwhite Omellette	Olive oil	Spoon of olive oil	4.5
24/03/2026	Eggwhite Omellette	Potatoe, Sweet	Cubes covering bottom of dish	154.0
24/03/2026	Eggwhite Omellette	Egg yolk	Two egg yolks (variable so measure)	20.0
24/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Just over a cup	203.0
24/03/2026	Yogurt Breakfast	Berry, Triple	About one quarter a square container.	116.0
24/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
24/03/2026	Chicken	Chicken		205.0
24/03/2026	Potatoe	Potatoes		190.0
24/03/2026	Brocolli	Broccoli	Small crown	219.0
24/03/2026	Turkey, Ground Dinner	Turkey, Ground		201.0
24/03/2026	Turkey, Ground Dinner	Potatoe, Sweet		120.0
24/03/2026	Turkey, Ground Dinner	Broccoli		171.5
24/03/2026	Olive oil	Olive oil	Spoon	2.3
24/03/2026	Mushrooms	Mushrooms		94.5
24/03/2026	Tomatoes	Tomato		51.5
25/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Just over a cup	203.0
25/03/2026	Yogurt Breakfast	Berry, Triple	About one quarter a square container.	102.5
